Set 1 A,Set 1 B,Set 1 D,Set 2 A,Set 2 B,Set 2 D,Set 3 A,Set 3 B,Set 3 D,Set 4 A,Set 4 B,Set 4 D,Set 5 A,Set 5 B,Set 5 D,Home
25,22,3,25,12,13,25,9,16,,,0,,,0,0
25,9,16,25,17,8,25,19,6,,,0,,,0,0
25,18,7,25,14,11,25,14,11,,,0,,,0,0
25,20,5,25,19,6,25,20,5,,,0,,,0,0
25,8,17,25,14,11,25,12,13,,,0,,,0,0
25,20,5,25,17,8,25,18,7,,,0,,,0,0
22,25,-3,26,24,2,25,21,4,21,25,-4,12,15,-3,0
25,12,13,25,19,6,25,20,5,,,0,,,0,0
25,9,16,25,16,9,25,16,9,,,0,,,0,1
25,21,4,25,16,9,25,20,5,,,0,,,0,1
25,22,3,25,17,8,20,25,-5,17,25,-8,14,16,-2,0
25,20,5,20,25,-5,27,29,-2,12,25,-13,,,0,0
25,9,16,25,16,9,25,14,11,,,0,,,0,1
25,19,6,25,18,7,23,25,-2,10,25,-15,11,15,-4,1
25,9,16,25,13,12,25,21,4,,,0,,,0,0
25,20,5,22,25,-3,27,29,-2,24,26,-2,,,0,1
14,25,-11,25,22,3,15,25,-10,25,19,6,9,15,-6,1
29,27,2,25,17,8,16,25,-9,15,25,-10,20,18,2,0
23,25,-2,29,27,2,16,25,-9,14,25,-11,,,0,0
25,21,4,19,25,-6,19,25,-6,23,25,-2,,,0,0
16,25,-9,25,12,13,22,25,-3,23,25,-2,,,0,0
25,15,10,25,19,6,26,24,2,,,0,,,0,1
19,25,-6,11,25,-14,12,25,-13,,,0,,,0,0
25,12,13,25,17,8,25,16,9,,,0,,,0,0
22,25,-3,19,25,-6,17,25,-8,,,0,,,0,0
27,29,-2,22,25,-3,22,25,-3,,,0,,,0,0
25,14,11,25,8,17,25,9,16,,,0,,,0,0
25,23,2,25,18,7,25,16,9,,,0,,,0,0
24,26,-2,23,25,-2,25,18,7,21,25,-4,,,0,0
19,25,-6,17,25,-8,29,31,-2,,,0,,,0,0
